#index	Sample	rep1	rep2
POOL-1	107420009	MID1	MID9
POOL-1	107420019	MID2	MID10
POOL-1	107420024	MID3	MID11
POOL-1	107420027	MID4	MID12
POOL-2	107420057	MID1	MID9
POOL-2	107420068	MID2	MID10
POOL-2	107420074	MID3	MID11
POOL-2	107420049	MID4	MID12
POOL-3	107240091	MID1	MID9
POOL-3	107300002	MID2	MID10
POOL-3	107300003	MID3	MID11
POOL-3	107300010	MID4	MID12
POOL-4	107300048	MID1	MID9
POOL-4	107300057	MID2	MID10
POOL-4	107300063	MID3	MID11
POOL-4	107300067	MID4	MID12
POOL-5	107300090	MID1	MID9
POOL-5	107300100	MID2	MID10
POOL-5	107300030	MID3	MID11
POOL-5	107300064	MID4	MID12
POOL-6	107300045	MID1	MID9
POOL-6	107300092	MID2	MID10
POOL-6	107320006	MID3	MID11
POOL-6	107320015	MID4	MID12
POOL-7	107320044	MID1	MID9
POOL-7	107320070	MID2	MID10
POOL-7	107320071	MID3	MID11
POOL-7	107320075	MID4	MID12
POOL-8	107340014	MID1	MID9
POOL-8	107340018	MID2	MID10
POOL-8	107340019	MID3	MID11
POOL-8	107340021	MID4	MID12
POOL-9	107340033	MID1	MID9
POOL-9	107340034	MID2	MID10
POOL-9	107340037	MID3	MID11
POOL-9	107340040	MID4	MID12
POOL-10	107340060	MID1	MID9
POOL-10	107340062	MID2	MID10
POOL-10	107340063	MID3	MID11
POOL-10	107340064	MID4	MID12
POOL-11	107340071	MID1	MID9
POOL-11	107340072	MID2	MID10
POOL-11	107340076	MID3	MID11
POOL-11	107340077	MID4	MID12
POOL-12	107340082	MID1	MID9
POOL-12	107340086	MID2	MID10
POOL-12	107340087	MID3	MID11
POOL-12	107340088	MID4	MID12
POOL-13	107340098	MID1	MID9
POOL-13	107340100	MID2	MID10
POOL-13	107340004	MID3	MID11
POOL-13	107340017	MID4	MID12
POOL-14	107380015	MID1	MID9
POOL-14	107380028	MID2	MID10
POOL-14	107380036	MID3	MID11
POOL-14	107380038	MID4	MID12
POOL-15	107260021	MID1	MID9
POOL-15	107260032	MID2	MID10
POOL-15	107260084	MID3	MID11
POOL-15	107260016	MID4	MID12
POOL-16	107280050	MID1	MID9
POOL-16	107280061	MID2	MID10
POOL-16	107280003	MID3	MID11
POOL-16	107280010	MID4	MID12
POOL-17	107280052	MID1	MID9
POOL-17	107280076	MID2	MID10
POOL-17	107280080	MID3	MID11
POOL-17	107280006	MID4	MID12
POOL-18	107160053	MID1	MID9
POOL-18	107060027	MID2	MID10
POOL-18	107440043	MID3	MID11
POOL-18	107440091	MID4	MID12
POOL-19	107400069	MID1	MID9
POOL-19	107320011	MID2	MID10
POOL-19	107140018	MID3	MID11
POOL-19	107380002	MID4	MID12
POOL-20	107380025	MID1	MID9
POOL-20	107380050	MID2	MID10
