#target	sample	barcode_id
K13	NY001	run1_barcode01
K13	NY002	run1_barcode02
K13	NY004	run1_barcode03
K13	NY005	run1_barcode04
K13	NY006	run1_barcode05
K13	NY007	run1_barcode06
K13	NY009	run1_barcode07
K13	NY010	run1_barcode08
K13	NY011	run1_barcode09
K13	NY013	run1_barcode10
K13	NY014	run1_barcode11
K13	NY015	run1_barcode12
K13	NY016	run1_barcode13
K13	NY017	run1_barcode14
K13	NY018	run1_barcode15
K13	NY019	run1_barcode16
K13	NY020	run1_barcode17
K13	NY023	run1_barcode18
K13	NY024	run1_barcode19
K13	NY025	run1_barcode20
K13	NY030	run1_barcode21
K13	NY035	run1_barcode22
K13	NY036	run1_barcode23
K13	NY037	run1_barcode24
K13	NY038	run1_barcode25
K13	NY039	run1_barcode26
K13	NY040	run1_barcode27
K13	NY042	run1_barcode28
K13	NY043	run1_barcode29
K13	NY046	run1_barcode30
K13	NY047	run1_barcode31
K13	NY049	run1_barcode32
K13	NY050	run1_barcode33
K13	NY051	run1_barcode34
K13	NY052	run1_barcode35
K13	NY055	run1_barcode36
K13	NY057	run1_barcode37
K13	NY058	run1_barcode38
K13	NY059	run1_barcode39
K13	NY060	run1_barcode40
K13	NY061	run1_barcode41
K13	NY062	run1_barcode42
K13	NY063	run1_barcode43
K13	NY064	run1_barcode44
K13	NY065	run1_barcode45
K13	NY066	run1_barcode46
K13	NY067	run1_barcode47
K13	NY068	run1_barcode48
K13	NY069	run1_barcode49
K13	NY070	run1_barcode50
K13	NY071	run1_barcode51
K13	NY073	run1_barcode52
K13	NY074	run1_barcode53
K13	NY075	run1_barcode54
K13	NY076	run1_barcode55
K13	NY077	run1_barcode56
K13	NY078	run1_barcode57
K13	NY079	run1_barcode58
K13	NY080	run1_barcode59
K13	NY082	run1_barcode60
K13	NY083	run1_barcode61
K13	NY085	run1_barcode62
K13	NY086	run1_barcode63
K13	NY088	run1_barcode64
K13	NY089	run1_barcode65
K13	NY090	run1_barcode66
K13	NY091	run1_barcode67
K13	NY092	run1_barcode68
K13	NY093	run1_barcode69
K13	NY094	run1_barcode70
K13	NY095	run1_barcode71
K13	NY097	run1_barcode72
K13	NY100	run1_barcode73
